Time (s),Channel 1 (V),Channel 2 (V)
0.0008640000000000002,0.3816426191736196,1.85350904873237
0.0008664999999999992,0.3842945559668463,1.856864443165436
0.000869,0.3866150006609219,1.859213219268584
0.0008715000000000007,0.3899299216524583,1.861897534815038
0.0008739999999999998,0.3932448426439916,1.863910771474878
0.0008765000000000005,0.3962282715363747,1.866595087021333
0.0008789999999999996,0.3998746846270614,1.869614942011092
0.0008815000000000003,0.4025266214202892,1.871963718114239
0.0008839999999999994,0.4048470661143626,1.873976954774078
0.0008865000000000001,0.4081619871058985,1.876996809763839
0.0008889999999999992,0.4108139238991252,1.879345585866985
0.0008914999999999999,0.4137973527915078,1.881023283083519
0.0008940000000000007,0.4171122737830439,1.883707598629974
0.0008964999999999997,0.420095702675424,1.885720835289813
0.0008990000000000005,0.4227476394686519,1.887734071949653
0.0009014999999999995,0.4247365920635728,1.88907622972288
0.0009040000000000003,0.4287144972534147,1.89209608471264
0.0009064999999999993,0.4313664340466413,1.894444860815786
0.0009090000000000001,0.4343498629390239,1.896458097475628
0.0009114999999999991,0.4373332918314039,1.898471334135467
0.0009139999999999999,0.4403167207237866,1.900149031352001
0.0009165000000000006,0.4419741812195554,1.902497807455149
0.0009189999999999997,0.4449576101119354,1.904511044114988
0.0009215000000000004,0.4476095469051633,1.906524280774829
0.0009239999999999995,0.4512559599958517,1.908537517434669
0.0009265000000000002,0.4545708809873865,1.910550754094509
0.0009289999999999993,0.4578858019789199,1.912563990754348
0.0009315,0.4602062466729958,1.913906148527576
0.0009340000000000008,0.4625266913670715,1.916254924630724
0.0009364999999999998,0.4655101202594515,1.918268161290563
0.0009390000000000006,0.4678305649535272,1.919610319063791
0.0009414999999999996,0.4704825017467538,1.921288016280323
0.0009440000000000004,0.4741289148374422,1.923972331826777
0.0009464999999999994,0.4764493595315166,1.925985568486617
0.0009490000000000002,0.4791012963247445,1.926992186816537
0.0009514999999999992,0.4817532331179711,1.927998805146457
0.000954,0.4850681541095072,1.930683120692911
0.0009565000000000008,0.4873885988035833,1.932360817909445
0.0009589999999999998,0.49103501189427,1.934038515125978
0.0009615000000000005,0.4936869486874991,1.935716212342512
0.0009639999999999996,0.4963388854807257,1.937058370115738
0.0009665000000000003,0.4983278380756466,1.938736067332272
0.0009689999999999994,0.5013112669680266,1.940078225105498
0.0009715000000000001,0.5042946958604094,1.942762540651952
0.0009739999999999992,0.5076096168519427,1.943098080095259
0.0009764999999999999,0.5099300615460186,1.945111316755099
0.0009790000000000007,0.512913490438401,1.94712455341494
